Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2010/1/4,8222.42,8240.45,8143.45,8207.85,8123.91,8010.05,7889.47,7710.58,1716.54,1535.66,1366.49,122.27,88.69,33.59,0.9413 ,0.9160 ,0.9184 ,0.7920 
2010/1/5,8277.71,8283.64,8162.54,8211.4,8154.69,8052.46,7911.26,7720.77,1974.47,1649.57,1456.51,130.15,96.98,33.17,0.9022 ,0.9114 ,0.9197 ,0.7934 
2010/1/6,8237.1,8327.87,8216.92,8327.62,8209.45,8099.62,7939.2,7732.96,1885.32,1760.28,1532.89,141.44,105.87,35.57,0.9346 ,0.9191 ,0.9504 ,0.8337 
2010/1/7,8344.56,8369.55,8233.59,8237.42,8234.48,8133.21,7961.2,7741.98,2032.98,1853.3,1616.69,146.23,113.94,32.29,0.8474 ,0.8952 ,0.7009 ,0.7154 
2010/1/8,8266.87,8290.66,8178.93,8280.9,8253.04,8164.95,7991.35,7751.49,1618.63,1845.59,1635.28,147.4,120.63,26.76,0.8166 ,0.8690 ,0.7404 ,0.7352 
2010/1/11,8291.52,8357.9,8281.72,8323.82,8276.23,8200.07,8017.79,7761.64,1550.46,1812.37,1674.01,151.73,126.85,24.88,0.8327 ,0.8569 ,0.7754 ,0.7536 
2010/1/12,8343.73,8356.97,8262.58,8309.37,8295.83,8225.26,8042.3,7770.94,1486.35,1714.75,1682.16,152.42,131.97,20.46,0.8236 ,0.8458 ,0.7353 ,0.7348 
2010/1/13,8229.25,8257.83,8194.81,8196.56,8269.61,8239.53,8061.75,7778.32,1421.91,1622.07,1691.17,143.4,134.25,9.14,0.6327 ,0.7748 ,0.4952 ,0.6062 
2010/1/14,8245.86,8313.94,8237.67,8289.98,8280.13,8257.3,8088.67,7788.13,1478.32,1511.13,1682.22,140.39,135.48,4.91,0.6378 ,0.7291 ,0.6189 ,0.6600 
2010/1/15,8340.6,8380.23,8325.82,8356.89,8295.32,8274.18,8119.4,7800.61,1726.31,1532.67,1689.13,142.19,136.82,5.37,0.7228 ,0.7270 ,0.6852 ,0.6928 
2010/1/18,8290.38,8367.65,8290.38,8337.82,8298.12,8287.18,8148.61,7812.09,1414.15,1505.41,1658.89,140.26,137.51,2.75,0.7450 ,0.7330 ,0.6467 ,0.6726 
2010/1/19,8387.66,8395.39,8227.3,8249,8286.05,8290.94,8171.7,7821.77,1596.78,1527.49,1621.12,132.9,136.59,-3.69,0.6046 ,0.6902 ,0.4922 ,0.5860 
2010/1/20,8309.19,8309.19,8191.44,8220.93,8290.92,8280.27,8189.94,7831.16,1423.95,1527.9,1574.98,122.06,133.68,-11.62,0.4677 ,0.6160 ,0.4514 ,0.5611 
2010/1/21,8189.5,8208.21,8107.55,8127.87,8258.5,8269.31,8201.26,7841.06,1303.64,1492.97,1502.05,104.78,127.9,-23.12,0.3353 ,0.5225 ,0.3393 ,0.4863 
2010/1/22,7986.43,8015.95,7912.85,7927.31,8172.59,8233.95,8199.45,7850.58,1488.07,1445.32,1488.99,74.33,117.19,-42.85,0.2336 ,0.4262 ,0.2066 ,0.3702 
2010/1/25,7845.3,7938.14,7828.34,7872.99,8079.62,8188.87,8194.47,7859.47,1095.27,1381.54,1443.47,44.23,102.6,-58.37,0.1819 ,0.3448 ,0.1833 ,0.3459 
2010/1/26,7903.03,7922.07,7572.58,7598.81,7949.58,8117.82,8171.54,7863.86,1627.46,1387.68,1457.59,3.78,82.83,-79.05,0.1319 ,0.2738 ,0.1089 ,0.2538 
2010/1/27,7639.72,7656.95,7530.41,7560.03,7817.4,8054.16,8146.85,7867.81,1201.57,1343.2,1435.55,-35.63,59.14,-94.77,0.0994 ,0.2157 ,0.1019 ,0.2438 
2010/1/28,7630.16,7756.77,7607.56,7694.58,7730.74,7994.62,8125.96,7871.6,1188.49,1320.17,1406.57,-57.2,35.87,-93.07,0.1295 ,0.1869 ,0.2919 ,0.3420 
2010/1/29,7593.38,7649.73,7481.9,7640.44,7673.37,7922.98,8098.58,7875.32,1185.25,1259.61,1352.46,-80.25,12.65,-92.9,0.1442 ,0.1727 ,0.2648 ,0.3236 
2010/2/1,7653.89,7661.7,7493.81,7524.67,7603.71,7841.66,8064.42,7876.35,918.76,1224.3,1302.92,-101.54,-10.19,-91.35,0.1134 ,0.1529 ,0.2139 ,0.2874 
2010/2/2,7633.74,7635.73,7398.8,7429.61,7569.87,7759.72,8025.33,7874.56,1119.78,1122.77,1255.22,-123.26,-32.8,-90.46,0.0883 ,0.1314 ,0.1799 ,0.2613 
2010/2/3,7523.79,7550.82,7441.92,7547.98,7567.46,7692.43,7986.35,7873.8,925.32,1067.52,1205.36,-134.99,-53.24,-81.75,0.1394 ,0.1340 ,0.3375 ,0.3425 
2010/2/4,7563.19,7578.18,7504.96,7542.04,7536.95,7633.85,7951.58,7871.7,809.12,991.65,1155.91,-141.08,-70.81,-70.27,0.1815 ,0.1499 ,0.3336 ,0.3405 
2010/2/5,7323.16,7352.98,7196.39,7217.83,7452.43,7562.9,7898.43,7864.15,1229.54,1000.5,1130.05,-167.81,-90.21,-77.6,0.1308 ,0.1435 ,0.1907 ,0.2510 
2010/2/6,7244.71,7249.19,7080.9,7212.87,7390.07,7496.89,7842.88,7856.61,812.87,979.33,1101.82,-191.42,-110.45,-80.97,0.1523 ,0.1464 ,0.1892 ,0.2499 
2010/2/8,7236.63,7253.24,7173.18,7215.88,7347.32,7458.59,7788.2,7846.99,849.86,925.34,1024.06,-205.69,-129.5,-76.19,0.1681 ,0.1537 ,0.1938 ,0.2521 
